Comments,Like,Dislike,User
뚜떼당해봐야 정신차리지 음흉한넘,2,0,ahep****
ㅋㅋㅋㅋㅋ 나가서 꺼꾸러 둬져라,1,0,hjlo****
두재앙 ㅋㅋ,1,0,gong****
미국이 독립시켜 주었드니 중공 편드는 빨갱이가 필리핀에도 있네 ㅋㅋ 재앙이다 ㅋㅋ,1,0,jjan****
아예... 지네 나라를 중국에 갖다바쳐라... ㅉㅉ,1,0,jupi****
"미국과 일본은 북남 조선족들끼리를 싸움 붙여놓고 재미 보려하고, 뚱떼루떼는 중. 미 를 싸움 붙여놓고 이득 챙기려 하는구나..ㅋ 휴대폰은 꼬리안이 좋은데 사람은 어찌 저리도 저품질 뒷떨어져 있스까나..",1,0,fant****
시작에 불가한거지 미국 정신차려라.백신 가난한 나라에 안주면 쟤들은 중국 러시아에줄설수밖에 없잖냐? 백신 지적재산권 한시적으로풀어라 진짜 미국 답답하다.,1,1,kimu****
정신 못차리네.....중국몽은 공짜가 아니예요~ 앞으로 영수증 도착하면 깜놀 하겠네....,0,0,ddon****
저 미련한 ??,0,0,cjy2****
결국 이 사람도 이게 한계,0,0,pyro****
"바다에 빠질 가능성이 크지만 궤도상 미국 뉴욕과 스페인 마드리드, 중국 베이징, 칠레 남부 등에 떨어질 수도 있다고 전했습니다. -전세계 민폐국이다 진짜. 아직 입장발표 없는거 보니 머리 아프겠지. 가지가지 한다. 아무쪼록 공해나 무인도로 떨어지길 빌어라.",131,1,haed****
베이징에나 추락해 버려랏~~!!,76,0,5468****
중국 독제자 시진핑 은 세계 의 골치거리 인데. 저런 놈 을 좋아 는 대한민국 의 집권자 들에 겁나게 많으니 참 으로 한심 하다 !,34,2,kure****
제발 베이징,20,0,dong****
지금 강원도 정동진 차이나타운 진짜일까사업계획서 정동진 차이나 드림시티 50만곱 땅 매입함 개발 앞두고 있음차이나 타운 맞습니다 차이니 타운 개념 휴양단지 맞음금수중화 적혀 잇는데요 중국 심천 관광지 중국 민속촌 만들겠다는것임 투자이민제도 5억~7억 중국에서 투자하면 중국인을 한국 영주권 준다고합니다 그냥 중국인을 한국 국적 만들겠다는 사업임부동산 투자이민제 돈을받고 중국인 영주권 주겠다는것임 일대일로 하고 똑같은 나라팔아먹는 사업임최문순 지사 관사 앞에 정동진 홍보관이 있음최문순 사형시켜야됨 나라 팔아먹음,4,0,supe****
베이징에 떨어지길.,3,0,cjds****
"뉴욕에 떨어져서 사상자 나오면, 전시상황으로 보낭?",2,0,akrf****
베이징에 떨어지면 진짜 꿀잼!!전세계가 환호할껀데,1,0,rext****
뉴욕에 떨어지면 원점타격 부탁드립니다. 천조국형님,1,0,hljc****
"우리나라는 추적할 능력은 되니? 중국이 공유해줄리는 없고 미국 자료에 의존할 건데, 양다리외교는 왜 하나!! 미국이 모든 자료 제공을 끊어 버리면 어떻게 할려고? 중국 바지자락 붙잡고 사정할려고? 역겨운 다함께 만짐당것들. 자기들 능력을 보면서 양다리 외교를 하던지.. 현실감각은 하나 없이 돈 밝히는 돈쟁이들",4,4,naye****
중궈것이니 베이징으로 떨어져라.엄한 나라에 떨어져 피해주지 말고 지금 봐라 저놈들은 지금도 모르쇠한다.,1,1,matt****
민폐짱깨국은 없어져야 한다.,0,0,lhyu****
진짜 뭐하나 이쁜짓 하는게 하나도 없구나......,0,0,s2me****
"민폐인 건 일단 둘째치고, 화성 깃발 꽂으려고 환승역 겸으로 우주정거장 세우는 듯한데, 한국도 정부차원에서 달기지 빨리 건설할 준비해야. 우주영토확장과 그에 따른 광물포함 우주자원. 뒤늦게 한 줌도 못 건지는 수가...",0,0,sino****
우주에서도 민폐군 민폐국가답다,0,0,nsh8****
일본 방사능이랑 비슷하네,0,0,envy****
부디 안전하게 베이징에 잘 도착하길 바랍니다,79,0,rmu9****
이젠 하다 하다 우주에서까지 민폐 끼치네....,30,0,sseu****
"베이징, 평양 둘 중 하나 제발... 청와대도 나쁘지 않겠지만 혹시 모르니 그냥 앞에 두 곳 중 하나 제발...",11,3,woni****
시진*이 서있는 그곳 그곳으로 유도해서 잘도착하길~~~,8,0,hwan****
저 냄새나는 놈들은 쫌 지구에서 지워버리자!!!,2,0,qqok****
중국때문에 골치다,2,0,lays****
중국으로 떨어져라 글로벌 민폐국. 염치없는것들.,1,0,ddoo****
중국 샨샤댐에 10톤조각 떨어져보길 갈망하네 ㅉㅉ타국가나 자국에 떨어저서인명피해 없게 말이라도이쁘게 하지 ㅉㅉ그래서 짱꿜라 라고 하나보다,1,0,musi****
암같은존재 중국...,1,0,emma****
자기똥에 냄새안난다는 소리하고 자빠졌네,1,0,hope****
기사가 ㄱㅅ리인게 대기 마찰열로 본체 대부분이 소멸되면 그게 우주선이냐? 장난함? 대기 마찰열에 견디니까 밖으로 나갔던건데 돌아올때는 못견딘다니,0,0,gaem****
전세계 러시안룰렛이냐..와..중국은 매일매일 중국하는중,0,0,dabi****
제발 중국에 떨어져주세요,0,0,kyul****
뿌린대로 거두려면 베이징으로 가면 되겄네,0,0,ssan****
중국....저지른 일은 좀 스스로 처리해라. 타국에 자꾸 민폐끼치지 말고...,0,0,matt****
격추해야지,0,0,vang****
"황사, 미세먼지등... 눈으로는 볼 수 조차 없어서 떼놈들이 아쉬웠나 봄... 역시 대국 답게 큼지막한 거 보내주는구나...",0,0,ayas****
헝가리가 헝그리 되고 싶은 모양,20,0,key3****
헝가리는 투르크맨 임에도 불구하고 신장인민을 생각을 저버리면 결국 헝가리도 엉클맨이 되는데...,5,1,sogo****
2차 새계대전 때 히틀러 꽁무니나 쫓아다니더니 아직도 정신을 못 차리고 중국 꼬붕짓이나 하는구만 ㅉㅉ,4,1,nice****
그럼 유럽연합에서 헝가리를 탈퇴시켜 버려라 중공공산당 습근평 진짜 싫다 我不歡喜 習近平,3,1,bong****
장깨의 신하가 우리나라만 있는게 아니었네,1,1,kkan****
헝가리? 헝그리 정신으로 잘좀해봐.,0,0,bwba****
짱떡에 당했나보지 뭐 ㅋㅋㅋ,0,0,happ****
헝가리는 유럽의 문씨조선이네,7,8,youn****
"이런 대통령이 똑똑한 대통령임, 일단 자국이익을 최대한 쟁취해야함, 빙신처럼 그냥 대국의 꽁무늬나 따르지 말고!",0,1,data****
걱정하지마. 인구 식량 가진 우크라이나는 포로셴코 젤렌스키같은 지도자들 잘만나서 노키아 클린네트워크 통해서 군사매체 흑해에서 까지 군사훈련등 러시아 증오심 혐오증 히스테리로 사기가 많이 오른 미국과 유럽 도움으로 체르노빌이 관광지가 되고 29년후 2050년 영양실조 신세 된 유라시아 지역 야생동물들 막고 우크라이나 수도 고층건물 합성사진이 현실이 될정도로 유럽 수호자 동유럽 맹주로 번영해서 헝가리 굴복시킬거다. 지금 정세보면 토니 블링컨의 우크라이나 방문으로 우크라이나 유럽 수호자 번영 징조가 다뜨고 있다. 지금 우크라이나봐라.,0,1,ssa6****
일본이 더 싫다 Vs 중국이 더 싫다 함 투표해 보죠. 저는 중국이 더 싫다 입니다..,778,53,lhjw****
"아니 왜 우리나라는 중국게임 허가해주나. 중국게임이 우리나라에서만 매년 3조-7조까지 벌어가고있는 현실을 직시해야. 중국에 반도체, 자동차 파나마나임. 우리나라도 중국게임 허가내주지말아야..",439,1,qlal****
짱꽤는 하루빨리 지구에서 사라져야 한다,155,1,seek****
이 세상은 중국만 없어도 수많은 문제가 해결 된다.,107,2,yjsp****
우리도 문닫아야 하는데 대똥령이 ㅜㅜ,87,6,core****
중국 게임 불매 중국산 불매 합시다.,24,0,cool****
좌파분들 맨날 중국 자본 없으면 다죽는다 하더니 이제 영혼까지 갖다 바칠 차례인가 봄,20,1,noog****
그럼우리정부도중국게임못들어오게해야지우리토종은중국에들어가지도못하는데,19,0,redc****
법무부에서 국적법 만들려고 합니다 이법이 머냐면 중국인을 94.7%를 한국 국적으로 만들어주고 나라 중국이 먹겠다는 법을 발의 했습니다 지금 현대판 이완용 박범계가 중국에 나라를 팔아먹고 있습니다 강원도 최문순은 중국에 또 강원도 정동진 중국에 땅을 팔아먹고 중국자본으로 차이나타운 또 추진하고 있습니다 현대판 이완용 문재인 최문순 박범계 이인간들 나라 진짜 중국에 팔아먹고 있습니다 정권이 바뀌면 사형제도 부활시켜서 죽여야될 인물임,17,0,jayl****
어이없는게 우리나라에서 짱깨들은 제재없이 건보혜택 다 쳐받고 차이나타운 건설하는거 허가해주고 제주도 서울 뭐 전국 다 매입하게 냅두고 게임내는데도 가만히 두는데 이 짱꼴라놈들은 우리한테 제재란 제재는 다 걸고 우리는 속수무책 당하기만 한다. 정신차려라. 지금돌아가는 꼴 보면 먹히는중이다. 우리의 적은 중국이라고!! 이걸 왜 모르냐 이 답답아. 조선족 짱깨가 판치는 한국모습이 진정 보고싶냐.,15,1,jpeh****
국내에 매국노가 있어,11,0,the-****
우리도 중국인들의 부동산시장 교란을 막고 중국게임심의도 엄격하게 해서 중국기업이 한국인들 주머니 털어가는걸 막아야한다 한류투자라는 목적으로 침투하는 중국자본도 규제해야한다 우리나라가 중국의 식민지인가? 일본은 조선을 고작 35년 강제지배 했지만 중국이 이 땅의 민족을 괴롭힌 세월은 이루 말할 수 없다 한민족의 전체의 역사는 곧 중국으로부터 투쟁의 역사와 다를바 없다 미국 앞에선 대등한 국가관계라며 소리치는 민주당은 중국엔 왜 찍소리도 못하는가? 친중반미외교로 나라를 중국에 팔아넘기는 민주당이 매국노가 아니면 무엇이 매국노이겠는가?,11,1,yohe****
대통령부터 바꾸자,10,0,6408****
이런 더러운 국가에 한국은 왜 문을 열어주나???로켓 쓰레기를 비롯하여 미세먼지 코로나 등등 세계에서 가장 더럽고 추한 국가가 중국이다.,10,0,jwl5****
게임에서 사회주의를 넣길 바라는 사람은 文입니다...! 공산당 백주년 기념을 축하한다고 시진핑에게 직접 전화를 했죠~~ 보하오 포럼에 나가서 얼마나 시진핑을 빨았습니까...? 거의 하인수준이었죠...! 아마 시진핑은 한국을 남조선성 정도로 생각할 겁니다... 나중에 대통이 되면 허락받고 그래야 하는것 아닌지 모르겠군요~^^ 중국인들에게 이민법을 대폭 완화하는 정책을 더민당에서 만든답니다... 文의 뜻이죠...! 文이 바라는 한국은 중국공산당을 주체로 모시는 나라만들기 아닌가요~!? 하긴 자국민보다 중국인을 더 많이 생각하니까~~,8,0,daee****
"친중 똘마니 문재앙, 니가 할일이다",8,0,slh1****
"우리나라 게임사 망한데엔 여가부가 한몫했지. 국내기업에 온갖 규제 다걸고, 마약과 동급 취급했잖아. 여가부만 없었어도 중국 자본에 침식되진 안았을거다",8,0,tony****
상호주의로 우리나라도 중국게임에 허가내주는거 까다롭게 해야지 이게 뭔가 우리나란 2개뿐이고 중국게임이 국내의40프로를 차지할 동안 정부는 뭐하는거지 중국 돈 벌게 해주려고 다 풀어준건가?,7,0,bsko****
맨날 미국에 당당하고 일본에 할소리 해봐 결국 중국에게 1:1로 두들겨 맞아도 손벌릴 곳 없어 ㅋㅋ 우파가 무슨 친일 친미파라서 친하게 지내자고 하냐 중국이 깡패처럼 굴때 우리가 힘이 없으니 좀 더러울때가 있어도 양보하자는거지 이놈들은 아주 자기들이 징기스칸인줄 알아 현실은 반도에서 수천년간 중국에게 조공만 올리면서 살다 독립해놓고 똥오줌을 못가림 이 바보야 문제는 경제야가 아니라 이 바보야 문제는 일본이 아니라 중국이야 정신차려 좀 나라 다 빼앗기겠네 ㅋㅋ,8,2,knig****
저 공산당 놈들이 하는 것과 똑같이 우리도 적용 시켜라무슨 생각으로 중공놈들이 만든 게임을 하는 사람들도 반성 좀 해라일본놈들은 경제 도발하고 중공놈들은 문화를 도발을 하니그것 들에 놀아나지 않게 정신 차려야 합니다,7,2,lee_****
잘하는거는잘하는거다이정권보다백배낫다,14,8,ejej****
일터지면 일본놈들 부터 짓밟아버리는것이 우선입니다,8,7,scac****
현시대에 맞지도않는G7 그만좀웃겨라,1,0,kwan****
근데 정의용은 저기에왜끼는거냐 고추가루 뿌리려구 중국이보낸 첩사같은데,12,12,rams****
중국 일본 전쟁을 응원한다.청일전쟁에 진 빚 갚아야지~,9,9,welc****
지구역사상 유례없는 빚더미 국가 일본엔화미친듯이 찍어대고있지만 그끝은 인플레 라는거 엔화 국제공용통화 얼마안남음 미국도 골수까지 빨다가 버릴게 눈에선함 장사꾼양아치 나라라 쪽쪽빨다가 버릴확률 80%엔화지금이라도 바꿔라 곧 사라질 돈이다,2,2,2912****
일본은 우리나라에 고마운 나라 쓰나미도 막아주고 중공놈들에게 게겨서 방패도 해주고 한국에게 소재분야도 자강하게 해주고 그래세 박수를 쳐주자 지진 날때마다 환호하자,2,2,kcle****
오늘도 올림픽을하겠다고 삿포로선수마라톤하고 응원1만명 나오고 난리부르스;;스가는 아베나가 재선임될가바 외교라도 하능건지;;국민건강은 안중에도 없음아유 무서워,1,1,hwy0****
중국이 일본 식민지 만들어라,1,1,am13****
"중국의 개, 시진핑의 딸랑이 한국",0,0,bbs8****
일본 가제이~~~,0,0,qqok****
토착 왜구들도 환장하네~,2,3,dksq****
활용은 무슨 개뿔..중공의 스파이가 무슨 개소리! 필요없다!,40,0,laid****
엿같은소리하구 잇네. 중국은 역사적으로 국경을 마주한 주변국들의 침략을 가장 두려워하기에 절대 주변국이 잘사는걸 바라지 않는다 겨우 먹고살만큼만 만들고 억압과 수탈이 외교정책의 기본이다. 지금 중국 주변국중에 잘사는 나라가 없다는게 그 반증이지. 한국이 이정도 부를 이룬건 몇십년간의 중국과의 관계 단절이 잇엇기에 가능한 것이엇고 . 선택을 해야할 시기가 온다면 중국과의 관계유지보단 그들과의 관계 단절이 더 실익이 잇을것이다,12,0,redw****
그래서 무슨 중국이 대국다워야 같이 놀지 나라 같지도 않은 시중 깡패같은 나라랑 뭘 도모하냐 중국은 멀리할수록 한국엔 좋은일.,9,0,kess****
중국은 문화적으로 이미 후진국이고 대한민국의 속국임 ㅇㅇ,6,0,leeh****
한국국적 줘야한다는 법무부 95프로가 중국인 이미한국 국적가진 조선족은 얼마나 되나 한국국적가진 조선족중 난 한국인이다라고 하는 이들은 얼마나될까 눈뜨고 나라 빼앗길처지다,5,1,park****
동북공정 한다며.. 뭘 활용하긴 하냐? 이미 상대는 검은 속내가 다 드러났는데...,4,0,b0nn****
이런 멍소리 기사를 누가 쓰는지. 일대일로 굴기등의 결과 아프리카 아시아 빈국들은 저들 돈에 눌려 나라가 망해가고 있는데 무슨 멍소리. 공산당 돈으로 경제 잡아먹고 나중에는 사상까지 바꿀것들을 믿고 이용하라고? 탈중국 미국동맹 강화가 답이다.,3,0,sayb****
활용하고싶은데 지들이 우리말 안듣는데 우째 활용하냐 ㅋㅋ 그냥 복종하라는 말이지 ㅋㅋ,3,0,moth****
중국몽하는 것들은 중국으로 꺼져라,2,0,am13****
중국인 조선족 우리나라에서 제발 떠나라.,1,0,clkw****
천멸중공.... 중국인민의 최대 흡혈조직.. 중국공산당. 천멸중공...천멸 친중매국정권...,1,0,wlgm****
미개한 중공이 활용할 가치가 있나? 뇌내망상 그만좀,1,0,hun1****
그동안 미국이 중국을 키워주었지만 이제는 다 컸으니 잡아먹을 시기임.중국은 내부적으로도 공산당 독재로는 더이상 발전 못함.앞으로 미국과 국제사회는 중국을 무너뜨리고 중국을 여러 개의 나라로 분할시킬 것임.,1,0,chun****
이런 개소리를... 뉴스화 하는 이유가 뭐냐? 도대체?,1,0,kimt****
같은 우덜민족속이 저따우 말을 한국에 하고 있습니다. ㅋㅋㅋ,1,0,cjsu****
더러운 짱꼴라,0,0,bzri****
중국 굴기는 개뿔우한폐렴 생화학 테러는 어떻할거냐?조선족동포들 정신 차려라중국/중공의 앞잡이나 스파이가 아니라고 입장 규명을 해야 할때가 있다! 괜히 중공중국의 선전의 이용해서 조선족의 민족 대변이 아닌 중국정부나 중화주의 대변하면 한민족으로 인정해주지 않고 괄시 받지!,0,0,pfg5****
"어이가 없네. 너무 여유롭게 저런 개소리를 씨부리고 앉았네. 저 말 직역하면, 한국은 중국의 개가 되라 이거 아냐?",0,0,dnm1****
짱깨들이 1.4후퇴때 떼거지로 몰려와 우리조상들을 다죽인 바퀴벌레들이지. 조선족들이 아주 스파이 나셨구만,0,0,jong****
"이상한거 먹어서 코로나로 전세계 락다운하고, 일대일로 해서 개도국 빚더미에 앉히고 미얀마 시민 학살하고, 로켓도 궤도 이탈시켜 우주 쓰레기 만들고. 미세먼지 뿌리고. 솔직히 지구 추방해야하는거 아니냐 그 나라",313,6,poca****
미얀마인들에게 지금 코로나보다 더 심각하고 중요한건 민주화이기때문에... 차라리 코로나에 걸려 아프고 죽더라도 민주화를 탈환하기 위해 저렇게 모여서 시위하는거잖아~ 미얀마 민주화를 지지합니다. 차이나바이러스 아웃 차이나 백신 아웃 차이나머니 아웃,115,2,kimc****
좀있음 문재앙이가 듕궉 백신 들여올것 같은데....러시아 백신도 들여오고 싶어하고.... 지는 화이자 맞고...,73,13,sdu2****
세계의 적 중국!!!!민폐나라!!!,44,2,asmf****
중국이 보내온 독극물..,20,0,alob****
실험쥐 취급으로 우정을 격상시키는 놀라운 중국뽕 우기기,6,0,haed****
중국놈들이 하는 짓거리가 다 그렇지... 전 세계가 연합해서 중국을 때려야 한다..중국을 붕괴시켜라,5,0,kim3****
중국은 꽁짜로 백신 임상실험하려고 보낸거구먼...,5,0,sogo****
중국은 전세계를 상대로 배상해야된다,3,0,anti****
21세기 메이드 인 차이나 코로나,3,0,psc4****
기사 읽어보면 중국 백신임 나라도 거부하겠다.,2,0,andy****
마음이 아프다 ㅠ,2,0,pkmo****
미얀마 국민여러분 민주화 기원합니다 그러나 대한민국같은 개같은 민주화는 조심하셔유,4,3,p253****
자고나니 중국이 지구에서 사라져 버렸으면 좋겠다,1,0,cjjk****
우리나라 국민들은 모두 코로나 바이러스와 5인이상 집합금지를 두려워하지 말고 군인들과 함께 총기를 들고 일어나 무장 유혈 혁명을 일으켜서 문재앙 정권을 전복시키자.,1,0,madl****
자국민을 죽이는 권력층과 무슨 우의인가,1,0,free****
훠훠훠 우리 인권변호사 출신 대통령은 그저 웃지요,1,0,swee****
니네만 중국 싫어하는게 아니다.힘내라,1,0,acro****
우주로 보내고싶다,1,0,imma****
당연한건데 문재인과 그 패거리들만 모르는 듯.,34,1,youn****
"짱깨때문에 통일못했음, 발암 미세먼지 계속 날림, 우한바이러스 퍼트림, 서해쪽에 원전 짓는중, 한국고유의 문화 지들꺼라 우김 ㅡ 짱깨의 장점이 뭐냐? 도대체",8,0,gard****
믿고 거르는 중국놈들,5,0,js_k****
문재인 지지율하고 비슷하네 ㅋㅋ대깨문 전라도 40대,2,0,math****
문재빵은 싫어할 기사네. 이인간 중국산 아닙니까?,1,0,topa****
초등학교1학년중국어부터배움 3학년때영어알파벳도 모르는데 중국어부터 가르치는건 뭐냐우리 실생활속 영어.알파벳 없는게 있나..상식적으로 중국어부터 배우는게 말이안됨,1,0,luzb****
"결코 방위비와 온갖 덤탱이는 기본 전작권따윈 주려하지않을 미국도 짜증은 나지만, 뻔뻔하게 역사왜곡하면서 한반도 침략하고있는 중국은 더! 더더! 더더더! 싫다 ㅡㅡ 우리는 좀 평화롭게 살게 내버려둬라,",0,0,cant****
먼럿소리야 문제인이 중국몽란다잖아,0,0,ho82****
"이런 쓸데없는 짓거리는 왜 하는지~경제는 하나도 모르고, 잘 하는건 대기업들 삥뜯고 정치질만 하고~~기업들 위하는 설문 조사좀 해라!",0,0,jeed****
당연한것이다,0,0,ahn6****
이기사삭제하세요,0,2,yjka****
도대체 이런건 왜쓰냐??,0,0,eunk****
별게다진짜ㅡㅡ ????한다,52,2,colu****
꼴값 떨고 있네,24,2,core****
악의 무리 사탄아 물러가라 빌게이츠,15,7,sadc****
짱깨 뉴스는 착해진 소식 빼고 전하지 마라ㅐ,8,2,kim8****
차이나바이러스 팬데믹 다음으로 무슨 짓을 또 벌이려는지 기후팬데믹 온다며 세계인구 반을 없애야 한다는 빌빌이나 바이러스로 전 세계를 공황에 빠뜨린 짱깨나 전 세계인을 불행에 빠뜨리는 악마들이다 수십년을 기후온난화로 불안어 떨게하는게 거짓임이 들통나자 기후사기 또 시작인가 왜 좌파들과 공산당들은 사람들 행복한 꼴을 못보고 갈라치기에 불안 공포를 조장하며 계속해서 공포이슈를 만들어내나,9,4,suyo****
짱께 뉴스는 그만 올려.,4,0,hoho****
빌게이츠는 사람 아니냐..이혼 할수도 있는거고중국놈들은 별걸 다신경쓰고 사네 먹고살기 편한가봐 .,1,0,1636****
빌게이츠가 이혼한거랑 짱깨들이 결혼 못하는거랑 뭔 상관이냐?,0,0,kjsa****
쭝궈들에게 이렇게 돈벌어서 뭐할꺼냐고 물어보면 70프로가 미국가서 살려고 번다더라. 할말 다했지. 공산독재 인민인 쟤들도 뇌가 저런데 한국은 선동당해서 반미를 하고 있다. 이런 글로벌 등&신들이 없죠,0,0,the-****
빌게이츠는 대표적인 중국 공산당 하수인이지,0,0,mgka****
할짓도없나보네 중국에다 기부는왜해? 사람들 더죽이라고 기부하냐?,0,0,100g****
이런데 미국 추월 웃기고 않아있다,0,0,smek****
중국에만 기부하지말고 남쪽나라에도 백딸라쯤 기부해줄꺼지...개돼지들이 배아프다잖아~??????,0,0,myun****
코로나 본좌 빌,0,0,selm****
ccp 바이러스가 있겠지.,0,0,xriv****
오바한다..,0,0,kgs4****
짱깨들이 전세계 국가에 무릎꿇고 싹싹 빌면서 피해보상 해도 될까 말깐데 저기에 기부를 했어? 나이들더니 노망났음?,1,2,ggob****
중국에 대해 할말을 하는 필리핀이 부러운 이유는 중국방문가서 중국공안에 기자가 두들겨 맞아도 말한마디도 못하고 오로지 중국이라는 상전의 눈치만을 살피고 중국지도부를 황제떠받들듯이 하고있는 놈이 비교되기 때문이 아닐까?,310,37,glay****
중국 영토욕심 지나치다! 그래가지곤 아무리 국력이 강해도 리더국 될 수 없다. 매너도 예의도 모르는 저질국.,132,2,a235****
악의 축 ㅈ국,132,3,bass****
필리핀 장관 보다도 더 못난 이나라 대통~~~ ㅋㅋ,100,32,akka****
화끈하네 필리핀 외교장관,30,1,rusi****
"대한민국의 대통령과 외교장관은 정신줄 놓고 영혼이 미국으로 가서 헛×랄하고 있어요. 우리도 소리질러 "" 중공꺼져, 깡패짓꺼리 하는 중공공산당 꺼져. 인권탄압과 역사왜곡 일삼는 시진핑중공공산당 꺼져"". 라고 소리높여 소리지르자. ㅎㅎㅎ",20,9,k91j****
나이스,8,1,sdok****
중국도 참 멍청하다...그냥 살면 되지 무신 패권주의? ...힘 쎄다고 해봐야 미국 못따라가고 패권외처봤자 주변국들하고 불편한 관계만 지속될뿐이다...대국이면대국답게 세계인들. 또는 주변국가들이 본받고 따라올수있는 정책이라도 하나 내놔라...덩치큰 쫄보같은 중국아...,6,0,kdh9****
????????????????,5,0,sfbb****
필리핀 장관이 한국 대통령보다 낫다,4,0,bmp2****
짱꼴라들은 필리핀 외교장관을 비난할 자격이 없음. 인도한테 했던 막말이나 반성해라,4,0,lwk7****
중국과 영토분쟁을 피할 수 없는 위치에 있으면서 반미 친중 정책을 추구했으니 피할 수 없는 결과다. 한국도 서해에서 남해까지 EEZ 다 포기할 생각이면 친중 하시든가,4,0,kimh****
인도 일본 대만 베트남 그리고 필리핀 까지 중국인접국들은 중국한때 할말은 다하네 ... 거기에 반해 문재인정권은 중국비위살피는중 ... 일본대하듯 중국은 죽창으로 안찌를거임?,4,1,wjja****
미국이 중국좀 쑥대벝으로 만들어 아닭하고 조용히 숨어살게 만들어야 지구가 산다,3,0,left****
우리 정부보다 낮네.. 필리핀 장관.,3,0,mydu****
필리핀은 할말은 하는 장관을 보유 했군요.부럽습니다. 문재인보유국은 29명의 청문회 부적격자 내각으로 간신급인데.북한에 중국에 조국게이트에 입도뻥긋 못하는 찌질이들인데,3,0,rbyu****
이런기사 필요 없고 LH수사나 제대로 파헤쳐라. 물에 물탄듯이 흐지부지 하지말고.,3,0,hj79****
"돈 몇푼에 영토,영해,영공을 내주는 행동은 하지말아야 한다",3,0,lss0****
저런게 외교지 이건 상전 모시기밖에 못하니,2,0,shdo****
중국이랑 친한 나라치고 멀쩡한 나라를 본 적이 없다. 장관보다 못한 대통 맞을까봐,2,0,xxni****
헐 가짜뉴스네.. 우리나라는 무조건 중립외교 가즈아,0,0,gkfa****
요즘 중국공산당 내부에서 권력투쟁 장난 아니라고..곧 쿠데타 급의 서열 물갈이가 시작된다는 찌라시가..시진핑의 시대도 얼마 안남은 듯?,0,1,sion****
12.7%는 우리나라 사람 아니겠죠. 일단 사람인지도 의심이 갑니다.,1,0,duke****
10명 중 2명은 좌파종북빨갱이라는거네,1,0,disn****
아직도 양키고홈을 외치는 바보들이 있으니. 이 세력들은 그냥 공산주의자,1,0,anti****
짱깨들 정권은 등외다!..전혀 관심없다!,1,0,bbae****
니들 손부터 장을 지지고 그런 소릴 짓걸여라 절반이상이 반미운동을 하고 있는데,0,3,zhtk****
중국은 세계적으로 홀대받고 있다 차이나 타운하면 진저리를 떨고있는디 문재앙 일당들은 어느나라 국민인가 ? 김일성 장학생인가 묻고싶다,2,0,eera****
역사만 알아도 당연히 미국이지. 중국아니엇으면 북한은 존재하지도 않았다.,4,0,mong****
당연한걸..,3,0,mook****
"문재인 임종석 이인영의 공통점은 반일 반미 친중 종북. 다른점은 문재인 딸 일본 유학 2년, 임종석 딸 뉴욕에서 7 ~8년째 유학중, 이인영 아들 스위스에서 6~7년 유학. 저거 자식들은 모두 자유진영국가애서 공부 시킴.",3,0,skyj****
원래 원교근공이라 하지 않나?ㅋ,0,0,zhff****
이걸 문어벙과 더불당은 모름 그저 북한 중국 타령만하지,0,0,revo****
당연한 얘기인데 높으신 몇몇분들만 모름ㅋ,0,0,hljx****
"더불어공산당에 투표하지 맙시다 ,, 상식 아닙니까???",3,0,gnqn****
친중 정치인들을 이 나라에서 몰아내야 한다 예전 박원숭이가 중국이라는 거대한 말궁등이에 한국이라는 파리가 말궁등이에 붙어서 같이 가야한다는 개소리를 지껄엿지,7,0,miri****
미첬냐 중국걸 맞게.,259,5,kang****
"짱깨의 개가 되어버린 WHO가 이름을 바꾸기 전까지 코로나 바이러스의 원래 이름은 ""우한 바이러스""였습니다... 잊지 맙시다.",174,7,pink****
기사 똑바로 써라 중국이 코로나 발원지 맞는데 니가 뭐라고 오명이라하니??답없는 MBC,87,14,algh****
병주고 약주고의 현실판이냐? 약이 맞기는 하냐?,39,2,hada****
바이러스도 지들이 만들고 백신도 지들이 만들고. 니들끼리 잘 해봐라,38,3,c_su****
애초에 이걸 노린것일수도.ㅋ경제ㆍ군사는 도저히 미국못잡을거같고 떼국답게 바이러스로 승부보자 이거군,10,0,join****
정신차려라 중국 때문에 전 세계사람들 이 고생이다,8,0,dell****
오 이쯤되면 중국산 바이러스 의도적 살포 맞나본데 ㅎㅎ,6,0,zhff****
저런식으로 우군을 만들수밖에 없는 중국이 참 불쌍하다.진심 땅만크지...살고있는 사람들은 저질인듯...그 큰 땅이 아깝다.ㅉㅉㅉ,5,0,kty7****
우리도 반드시 국산 백신 성공해서 저런꼴 당하지 말아야함. 정부는 백신 개발에 더 투자해라!!!,5,0,k621****
"그랬군...코로나 퍼뜨리고, 백신으로 쥐락펴락 하려는 음모였군!!!",5,0,khk1****
코로나 바이러스가 우한의 실험실에서 나왔다니 당연히 백신기술도 먼저 가지고 있었겠지.,4,0,melt****
중공아 그백신맞고 죽은 인민들 숫자는? 임상실험결과는? 부작용은? 전부 비밀이지?,4,0,wlgu****
