Comments,Like,Dislike,User
전세계와 지구를 위해 중국은 석기시대로 돌아가야 한다,1,0,palm****
오늘 날씨에 대해 우리나라는 어떻게 보도했냐??,0,0,soul****
더러운나라 원시인들,0,0,ws38****
세게가 연합해서 중국 정부 없애는거....당연 안되겠지...마음만큼은 진심 그러고 싶다,0,0,blue****
박멸만이 정답,0,0,sona****
대한민국의 보여주기식 무능.,2,3,hero****
아니 실검 돌려놓으라고 네이버놈들아 ㅋㅋㅋㅋㅋ 페북보고 이제야 알았네,1350,4,soul****
천안문에 떨어져 봐야 정신차릴려나,476,6,zzyx****
국제적 민폐국가..,365,3,jfre****
진심으로 나한테 로또의 기회와 중국멸망의 기회 중 택하라면 중국의 멸망이다,351,11,byon****
시진핑핑이 정수리에 떨어져라ㅋㅋ,157,2,abrk****
베이징에 떨어졌음 좋겠는데...,51,1,shad****
저 나라는 대체 도움이될수있는건뭘까,20,1,ju02****
아 중국은 진심... 전세계가 힘을 합쳐 없애버려야함,19,0,agag****
어머 역시 세계 민폐국♡ ♡ 언제나 내 심장을 도키도키 하게 만드네 부디★ 베이징에 떨어지길...♡,19,0,hang****
제발 뉴욕 한복판에 떨어져서 전세계적으로 개망신 한번만 당했으면 좋겠다 ㅋㅋㅋㅋㅋㅋ,26,11,dnjs****
뉴욕에 떨어지면 한판 붙겠지? ㅎㅎ 쓸어버렸으면 좋겠네,15,1,bbun****
중국이 또 중국했네,12,0,1122****
짱꼴라들아 어디에 떨어지든 가서 치워라.,11,0,suns****
도움까진 안바란다 민폐 좀 작작 끼쳤으면,11,0,ddoo****
한국 거주 조선족 중국인 강제 추방 및 모든 차이나티운 강제 철거 작업 들어 갑시다 그 자리에 한국 문화타운 조성 사업하시기 바랍니다 자국민 관광지 만들기!!!,10,0,gpdl****
다른 국가에 떨어졌다간...ㄷㄷ 피해보상 어마어마 할텐데 또 감당 안하고 '난 모르는 일일세' 하고 튈것 같은디,10,0,en_c****
전세계에 가장 필요없는 민폐국,10,1,lodg****
짜장이나 배달하지 먼 짓거리냐,8,0,ttif****
