,0
1070,4
1071,0
1072,6
1073,3
1074,6
1075,1
1076,8
1077,1
1078,13
1079,3
1080,4
1081,4
1082,20
1083,2
1084,23
1085,1
1086,3
1087,0
1088,6
1089,1
1090,5
1091,1
1092,12
1093,12
1094,12
1095,2
1096,5
1097,1
1098,17
1099,1
1100,1
1101,1
1102,8
1103,7
1104,33
1105,3
1106,4
1107,1
1108,25
1109,4
1110,21
1111,7
1112,2
1113,1
1114,5
1115,0
1116,0
1117,1
1118,0
1119,1
1120,4
1121,0
1122,49
1123,28
1124,3
1125,1
1126,12
1127,8
1128,0
1129,0
1130,2
1131,2
1132,1
1133,0
1134,2
1135,1
1136,6
1137,0
1138,3
1139,2
1140,3
1141,2
1142,13
1143,2
1144,5
1145,0
1146,2
1147,2
1148,0
1149,7
1150,0
1151,2
1152,26
1153,0
1154,9
1155,0
1156,11
1157,0
1158,4
1159,0
1160,4
1161,3
1162,15
1163,1
1164,2
1165,1
1166,1
1167,4
1168,3
1169,1
1170,4
1171,2
1172,1
1173,2
1174,19
1175,2
1176,9
1177,2
1178,2
1179,2
1180,18
1181,6
1182,2
1183,1
1184,8
1185,8
1186,8
1187,4
1188,2
1189,1
1190,2
1191,0
1192,163
1193,1
1194,102
1195,3
1196,1
1197,0
1198,123
1199,1
1200,229
1201,0
1202,346
1203,1
1204,93
1205,1
1206,1
1207,1
1208,46
1209,0
1210,58
1211,0
1212,150
1213,0
1214,54
1215,3
1216,4
1217,1
1218,172
1219,2
1220,102
1221,4
1222,118
1223,3
1224,3
1225,2
1226,155
1227,2
1228,0
1229,0
1230,2
1231,0
1232,1
1233,0
1234,3
1235,0
1236,15
1237,0
1238,6
1239,0
1240,8
1241,0
1242,0
1243,0
1244,1
1245,0
1246,1
1247,1
1248,3
1249,5
1250,15
1251,6
1252,67
1253,3
1254,32
1255,10
1256,2
1257,1
1258,37
1259,20
1260,25
1261,3
1262,12
1263,1
1264,32
1265,2
1266,79
1267,0
1268,18
1269,1
1270,31
1271,0
1272,32
1273,4
1274,3
1275,1
1276,17
1277,0
1278,12
1279,1
1280,39
1281,3
1282,59
1283,2
1284,36
1285,6
1286,32
1287,27
1288,13
1289,2
1290,1
1291,0
1292,0
1293,0
1294,1
1295,1
1296,1
1297,0
1298,0
1299,4
1300,10
1301,0
1302,13
1303,0
1304,6
1305,6
1306,1
1307,0
1308,4
1309,0
1310,21
1311,1
1312,1
1313,1
1314,11
1315,0
1316,2
1317,0
1318,4
1319,1
1320,11
1321,2
1322,1
1323,0
1324,9
1325,3
1326,31
1327,1
1328,4
1329,0
1330,15
1331,2
1332,4
1333,3
1334,0
1335,0
1336,10
1337,5
1338,18
1339,0
1340,15
1341,7
1342,3
1343,0
1344,9
1345,5
1346,10
1347,0
1348,27
1349,5
1350,25
1351,2
1352,2
1353,1
1354,6
1355,2
1356,5
1357,2
1358,14
1359,2
1360,29
1361,0
1362,9
1363,4
1364,3
1365,1
1366,0
1367,1
1368,7
1369,1
1370,1
1371,1
1372,4
1373,2
1374,0
1375,1
1376,2
1377,0
1378,3
1379,0
1380,10
1381,0
1382,3
1383,1
1384,10
1385,6
1386,7
1387,0
1388,4
1389,3
1390,1
1391,0
1392,16
1393,0
1394,0
1395,5
1396,3
1397,2
1398,5
1399,1
1400,12
1401,1
1402,6
1403,3
1404,3
1405,0
1406,2
1407,2
1408,2
1409,7
1410,4
1411,1
1412,25
1413,12
1414,22
1415,4
1416,1
1417,0
1418,19
1419,8
1420,1
1421,0
1422,1
1423,0
1424,153
1425,11
1426,214
1427,10
1428,28
1429,8
1430,277
1431,37
1432,219
1433,1
1434,360
1435,8
1436,8
1437,2
1438,367
1439,5
1440,10
1441,8
1442,417
1443,9
1444,266
1445,4
1446,318
1447,4
1448,181
1449,7
1450,13
1451,13
1452,699
1453,12
1454,0
1455,0
1456,6
1457,0
1458,9
1459,0
1460,5
1461,2
1462,5
1463,2
1464,15
1465,1
1466,26
1467,4
1468,4
1469,3
1470,1
1471,0
1472,23
1473,0
1474,1
1475,0
1476,9
1477,0
1478,2
1479,0
1480,1
1481,0
1482,23
1483,11
1484,13
1485,0
1486,44
1487,0
1488,1
1489,1
1490,2
1491,1
1492,1
1493,1
1494,2
1495,0
1496,0
1497,0
1498,1
1499,0
1500,1
1501,1
1502,17
1503,5
1504,9
1505,8
1506,1
1507,1
1508,6
1509,2
1510,13
1511,7
1512,6
1513,1
1514,2
1515,1
1516,4
1517,4
1518,1
1519,1
1520,0
1521,0
1522,4
1523,3
1524,0
1525,0
1526,8
1527,9
1528,7
1529,0
1530,2
1531,7
1532,5
1533,0
1534,4
1535,0
1536,6
1537,3
1538,6
1539,1
1540,8
1541,1
1542,13
1543,3
1544,4
1545,4
1546,20
1547,2
1548,23
1549,1
1550,3
1551,0
1552,1
1553,6
1554,1
1555,6
1556,12
1557,12
1558,12
1559,2
1560,5
1561,1
1562,17
1563,1
1564,1
1565,1
1566,8
1567,7
1568,33
1569,3
1570,4
1571,1
1572,25
1573,4
1574,21
1575,7
1576,2
1577,1
1578,5
1579,0
1580,1
1581,0
1582,1
1583,0
1584,4
1585,0
1586,49
1587,28
1588,3
1589,1
1590,12
1591,8
1592,0
1593,0
1594,2
1595,2
1596,1
1597,0
1598,2
1599,1
1600,6
1601,0
1602,3
1603,2
1604,3
1605,2
1606,13
1607,2
1608,5
1609,0
1610,2
1611,2
1612,7
1613,0
1614,2
1615,0
1616,26
1617,0
1618,9
1619,0
1620,11
1621,0
1622,4
1623,0
1624,4
1625,3
1626,15
1627,0
1628,0
1629,1
1630,0
1631,1
1632,0
1633,4
1634,49
1635,28
1636,3
1637,1
1638,12
1639,8
1640,0
1641,0
1642,2
1643,2
1644,1
1645,0
1646,2
1647,1
1648,0
1649,6
1650,2
1651,3
1652,2
1653,3
1654,13
1655,2
1656,5
1657,0
1658,2
1659,2
1660,7
1661,0
1662,2
1663,0
1664,26
1665,0
1666,9
1667,0
1668,11
1669,0
1670,4
1671,0
1672,4
1673,3
1674,15
1675,2
1676,0
1677,1
1678,0
1679,3
1680,1
1681,1
1682,0
1683,2
1684,5
1685,2
1686,1
1687,1
1688,4
1689,1
1690,7
1691,2
1692,18
1693,0
1694,2
1695,0
1696,2
1697,0
1698,10
1699,0
1700,12
1701,1
1702,29
1703,2
1704,2
1705,0
1706,22
1707,0
1708,36
1709,0
1710,52
1711,3
1712,41
1713,2
1714,44
1715,2
1716,30
1717,4
1718,31
1719,3
1720,1
1721,1
1722,15
1723,2
1724,37
1725,0
1726,17
1727,2
1728,26
1729,1
1730,116
1731,1
1732,13
1733,3
1734,34
1735,1
1736,69
1737,1
1738,8
1739,3
1740,5
1741,1
1742,2
1743,1
1744,0
1745,2
1746,0
1747,0
1748,2
1749,0
1750,1
1751,0
1752,1
1753,0
1754,1
1755,1
1756,4
1757,1
1758,8
1759,6
1760,10
1761,1
1762,6
1763,2
1764,11
1765,1
1766,15
1767,5
1768,5
1769,7
1770,11
1771,3
1772,4
1773,1
1774,8
1775,7
1776,4
1777,3
1778,5
1779,0
1780,1
1781,0
1782,3
1783,0
1784,2
1785,1
1786,7
1787,0
1788,3
1789,1
1790,13
1791,5
1792,8
1793,0
1794,1
1795,0
1796,2
1797,2
1798,0
1799,1
1800,5
1801,0
1802,6
1803,1
1804,2
1805,2
1806,4
1807,1
1808,1
1809,3
1810,6
1811,1
1812,9
1813,0
1814,0
1815,1
1816,5
1817,5
1818,3
1819,7
1820,8
1821,1
1822,0
1823,1
1824,0
1825,1
1826,54
1827,4
1828,11
1829,0
1830,39
1831,2
1832,5
1833,3
1834,13
1835,4
1836,22
1837,8
1838,37
1839,2
1840,33
1841,2
1842,10
1843,1
1844,34
1845,4
1846,44
1847,0
1848,74
1849,1
1850,57
1851,7
1852,19
1853,1
1854,8
1855,0
1856,1
1857,6
1858,2
1859,0
1860,1
1861,0
1862,5
1863,0
1864,3
1865,0
1866,2
1867,15
1868,3
1869,1
1870,28
1871,6
1872,1
1873,1
1874,4
1875,0
1876,15
1877,1
1878,0
1879,0
1880,2
1881,1
1882,6
1883,3
1884,1
1885,8
1886,0
1887,0
1888,2
1889,0
1890,7
1891,0
1892,1
1893,1
1894,4
1895,0
1896,2
1897,1
1898,2
1899,0
1900,1
1901,0
1902,1
1903,3
1904,1
1905,2
1906,3
1907,3
1908,1
1909,0
1910,3
1911,1
1912,7
1913,3
1914,4
1915,3
1916,7
1917,1
1918,12
1919,16
1920,3
1921,1
1922,14
1923,12
1924,2
1925,2
1926,11
1927,2
1928,8
1929,0
1930,6
1931,0
1932,1
1933,0
1934,9
1935,7
1936,5
1937,1
1938,2
1939,2
1940,6
1941,5
1942,0
1943,1
1944,0
1945,0
1946,2
1947,1
1948,4
1949,5
1950,0
1951,0
1952,5
1953,2
1954,4
1955,1
1956,11
1957,0
1958,6
1959,0
1960,6
1961,0
1962,7
1963,0
1964,7
1965,0
1966,8
1967,0
1968,2
1969,1
1970,1
1971,2
1972,0
1973,6
1974,26
1975,0
1976,0
1977,0
1978,2
1979,1
1980,2
1981,3
1982,6
1983,2
1984,0
1985,0
1986,1
1987,0
1988,0
1989,0
1990,9
1991,0
1992,0
1993,1
1994,0
1995,0
1996,2
1997,1
1998,4
1999,5
2000,0
2001,0
2002,5
2003,2
2004,4
2005,1
2006,11
2007,0
2008,6
2009,0
2010,6
2011,0
2012,7
2013,0
2014,7
2015,0
2016,8
2017,0
2018,2
2019,1
2020,1
2021,2
2022,0
2023,6
2024,26
2025,0
2026,0
2027,0
2028,2
2029,1
2030,2
2031,3
2032,6
2033,2
2034,0
2035,0
2036,1
2037,0
2038,0
2039,0
2040,9
2041,0
2042,10
2043,2
2044,2
2045,1
2046,10
2047,1
2048,2
2049,1
2050,2
2051,1
2052,605
2053,10
2054,24
2055,2
2056,116
2057,11
2058,171
2059,8
2060,3
2061,3
2062,438
2063,9
2064,138
2065,2
2066,14
2067,5
2068,531
2069,36
2070,355
2071,1
2072,9
2073,9
2074,672
2075,25
2076,167
2077,1
2078,3
2079,3
2080,159
2081,17
2082,308
2083,3
2084,12
2085,5
2086,336
2087,58
2088,134
2089,7
2090,206
2091,3
2092,35
2093,2
2094,15
2095,1
2096,6
2097,2
2098,0
2099,1
2100,8
2101,0
2102,3
2103,1
2104,2
2105,0
2106,3
2107,0
2108,6
2109,1
2110,4
2111,0
2112,1
2113,0
2114,6
2115,0
2116,21
2117,0
2118,0
2119,0
2120,4
2121,0
2122,5
2123,2
2124,0
2125,1
2126,0
2127,0
2128,1
2129,0
2130,0
2131,4
2132,0
2133,12
2134,1
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,1
2142,0
2143,0
2144,1
2145,0
2146,3
2147,0
2148,1
2149,0
2150,0
2151,0
2152,2
2153,0
2154,1
2155,0
2156,9
2157,0
2158,5
2159,0
2160,7
2161,0
2162,3
2163,3
2164,447
2165,7
2166,33
2167,6
2168,983
2169,26
2170,275
2171,6
2172,8
2173,5
2174,419
2175,7
2176,280
2177,3
2178,7
2179,2
2180,185
2181,7
2182,956
2183,67
2184,168
2185,55
2186,870
2187,328
2188,449
2189,19
2190,16
2191,8
2192,263
2193,10
2194,352
2195,7
2196,12
2197,5
2198,479
2199,9
2200,170
2201,2
2202,8
2203,7
2204,2
2205,1
2206,106
2207,3
2208,285
2209,13
2210,50
2211,4
2212,74
2213,12
2214,348
2215,6
2216,11
2217,5
2218,163
2219,63
2220,88
2221,3
2222,122
2223,2
2224,176
2225,4
2226,7
2227,1
2228,214
2229,3
2230,66
2231,1
2232,0
2233,1
2234,89
2235,5
2236,10
2237,0
2238,3
2239,3
2240,8
2241,2
2242,3
2243,3
2244,32
2245,2
2246,0
2247,1
2248,2
2249,2
2250,0
2251,0
2252,1
2253,0
2254,2
2255,1
2256,27
2257,0
2258,0
2259,1
2260,30
2261,3
2262,1
2263,0
2264,4
2265,7
2266,12
2267,1
2268,11
2269,4
2270,1
2271,3
2272,10
2273,0
2274,0
2275,2
2276,2
2277,5
2278,4
2279,0
2280,14
2281,1
2282,4
2283,1
2284,11
2285,2
2286,3
2287,2
2288,0
2289,3
2290,24
2291,2
2292,4
2293,3
2294,1
2295,5
2296,2
2297,4
2298,17
2299,2
2300,0
2301,0
2302,0
2303,1
2304,1
2305,1
2306,3
2307,0
2308,1
2309,0
2310,26
2311,10
2312,30
2313,2
2314,19
2315,7
2316,0
2317,0
2318,5
2319,3
2320,49
2321,4
2322,20
2323,4
2324,32
2325,4
2326,10
2327,17
2328,22
2329,5
2330,29
2331,3
2332,19
2333,6
2334,15
2335,3
2336,3
2337,1
2338,22
2339,3
2340,60
2341,6
2342,1
2343,34
2344,5
2345,27
2346,2
2347,1
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,3
2355,1
2356,3
2357,1
2358,5
2359,0
2360,3
2361,2
2362,20
2363,4
2364,10
2365,5
2366,6
2367,5
2368,1
2369,0
2370,2
2371,0
2372,1
2373,0
2374,1
2375,0
2376,2
2377,0
2378,1
2379,0
2380,0
2381,0
2382,3
2383,1
2384,2
2385,0
2386,10
2387,0
2388,18
2389,0
2390,32
2391,1
2392,11
2393,1
2394,166
2395,109
2396,120
2397,6
2398,10
2399,3
2400,217
2401,10
2402,364
2403,3
2404,15
2405,11
2406,137
2407,23
2408,54
2409,1
2410,5
2411,2
2412,122
2413,40
2414,86
2415,3
2416,199
2417,27
2418,7
2419,5
2420,63
2421,2
2422,142
2423,2
2424,13
2425,1
2426,128
2427,3
2428,248
2429,12
2430,17
2431,1
2432,0
2433,0
2434,11
2435,0
2436,6
2437,0
2438,4
2439,0
2440,10
2441,0
2442,10
2443,0
2444,164
2445,0
2446,8
2447,1
2448,125
2449,9
2450,135
2451,16
2452,91
2453,8
2454,625
2455,17
2456,525
2457,12
2458,21
2459,19
2460,383
2461,32
2462,343
2463,4
2464,14
2465,6
2466,134
2467,64
2468,195
2469,12
2470,2
2471,1
2472,169
2473,8
2474,0
2475,0
2476,0
2477,0
2478,1
2479,2
2480,8
2481,1
2482,3
2483,1
2484,3
2485,3
2486,0
2487,2
2488,0
2489,0
2490,2
2491,0
2492,11
2493,2
2494,0
2495,3
2496,3
2497,1
2498,0
2499,0
2500,1
2501,1
2502,13
2503,1
2504,2
2505,3
2506,6
2507,1
2508,4
2509,5
2510,0
2511,0
2512,149
2513,21
2514,109
2515,18
2516,667
2517,47
2518,146
2519,11
2520,23
2521,1
2522,189
2523,18
2524,429
2525,11
2526,12
2527,7
2528,296
2529,26
2530,183
2531,5
2532,21
2533,8
2534,128
2535,13
2536,216
2537,8
2538,19
2539,16
2540,411
2541,10
2542,253
2543,14
2544,34
2545,1
2546,0
2547,0
2548,1
2549,0
2550,4
2551,0
2552,1
2553,0
2554,1
2555,0
2556,1
2557,1
2558,0
2559,2
2560,0
2561,1
2562,1
2563,0
2564,0
2565,0
2566,10
2567,0
2568,1
2569,3
2570,2
2571,1
2572,3
2573,1
2574,0
2575,1
2576,1
2577,1
2578,4
2579,0
2580,6
2581,1
2582,2
2583,0
2584,1
2585,0
2586,2
2587,1
2588,0
2589,1
2590,2
2591,0
2592,0
2593,0
2594,0
2595,0
2596,10
2597,1
2598,3
2599,2
2600,1
2601,3
2602,1
2603,0
2604,1
2605,1
2606,1
2607,0
2608,4
2609,1
2610,6
2611,0
2612,2
2613,0
2614,1
2615,2
2616,1
2617,0
2618,1
2619,2
2620,0
2621,0
2622,0
2623,1
2624,0
2625,0
2626,0
2627,2
2628,0
2629,1
2630,0
2631,1
2632,0
2633,0
2634,1
2635,2
2636,1
2637,0
2638,3
2639,0
2640,0
2641,0
2642,0
2643,0
2644,1
2645,7
2646,3
2647,6
2648,47
2649,29
2650,7
2651,6
2652,33
2653,2
2654,14
2655,9
2656,1
2657,2
2658,0
2659,0
2660,0
2661,1
2662,0
2663,0
2664,0
2665,0
2666,1
2667,5
2668,17
2669,3
2670,6
2671,0
2672,12
2673,0
2674,2
2675,0
2676,2
2677,0
2678,0
2679,0
2680,1
2681,1
2682,3
2683,0
2684,0
2685,3
2686,69
2687,0
2688,29
2689,2
2690,2
2691,0
2692,85
2693,3
2694,52
2695,1
2696,68
2697,1
2698,2
2699,1
2700,75
2701,0
2702,28
2703,1
2704,45
2705,1
2706,2
2707,1
2708,85
2709,2
2710,52
2711,1
2712,0
2713,1
2714,163
2715,1
2716,55
2717,0
2718,2
2719,23
2720,1
2721,5
2722,59
2723,1
2724,129
2725,2
2726,0
2727,0
2728,0
2729,1
2730,2
2731,0
2732,232
2733,10
2734,77
2735,4
2736,345
2737,3
2738,12
2739,1
2740,50
2741,9
2742,173
2743,2
2744,7
2745,175
2746,1
2747,10
2748,8
2749,205
2750,17
2751,234
2752,1
2753,232
2754,5
2755,16
2756,67
2757,1
2758,54
2759,6
2760,116
2761,2
2762,37
2763,6
2764,48
2765,4
2766,5
2767,3
2768,164
2769,24
2770,0
2771,0
2772,1
2773,0
2774,4
2775,0
2776,7
2777,0
2778,7
2779,0
2780,0
2781,0
2782,12
2783,1
2784,22
2785,107
2786,5
2787,10
2788,2
2789,77
2790,8
2791,150
2792,5
2793,112
2794,9
2795,39
2796,1
2797,2
2798,131
2799,1
2800,78
2801,9
2802,54
2803,4
2804,9
2805,11
2806,575
2807,50
2808,108
2809,8
2810,79
2811,68
2812,14
2813,3
2814,390
2815,33
2816,198
2817,3
2818,10
2819,3
2820,91
2821,13
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,1
2829,2
2830,0
2831,1
2832,0
2833,0
2834,0
2835,1
2836,0
2837,0
2838,9
2839,0
2840,32
2841,3
2842,2
2843,7
2844,18
2845,12
2846,20
2847,0
2848,10
2849,0
2850,22
2851,5
2852,12
2853,3
2854,17
2855,4
2856,9
2857,3
2858,9
2859,0
2860,2
2861,0
2862,18
2863,11
2864,55
2865,1
2866,65
2867,0
2868,15
