,0
192,"중국이 대만 먹어봐라.
그럼 대만 기준으로
제주도 앞바다
오키나와 앞바다까지
죄다 중국영해라 우길거다."
193,"중공타도
대만공화국"
194,"공산주위
기술도둑
남한산성보고
따라할게없어서
만리장성
만들드만"
195,민주주의 대만 지지. 🙋‍♂️
196,"덩치 키우려 하지말고 있는거나 잘 다스려라
맨 짝퉁천국 만들지말고"
197,경고해바야  말뿐이지  미국무서워서  딱살못하면서
198,"건들여봐봐.  중공놈들.  한국도 참전할거다.  자유민주주의 체제의 미, 한, 대만, 일이 보고만 있을거 같나?  북괴놈들하고 중공놈들은 멸공되어야함."
199,"언젠가 
중국 천안문에도 
민주주의 깃발이 
휘날릴 때가 반드시 옵니다."
200,정의의 심판? 이런 표현이 중국 공산당이 할 수 있는 표현인가? 너희야 말로 언젠가 정의의 심판을 받아야 하거늘. 중국 공산당은 독립국이며 자유민주주의 국가인 대만을 절대 건드리면 안 된다.
201,"쥐도새도모르게살아지겠구나,,,.조심하세요,"
202,응? 그냥 중국이 중국했네요. 중국은 오늘도 평화롭고 천안문 광장에서는 아무 일도 일어나지 않았답니다^^
203,중국은 저정도면 정신병이다.
204,대만이  중국을  흡수 합병 하는것이  정답이다    중국이 민주주의  공화국으로  바꾸어라  공산주의  하지말구  ㅎ ㅎ ㅎ
205,대만에  중국 원전과  샨샤댐  폭파시킬  미사일 1000개 정도 줘라.
206,대만은 민주국가 맞다 중공은 공산독재 국가다
207,쭝공은 뭐이래 말이많노
208,중화민국의 고토 수복을 기원합니다
209,"중국 공산당

꺼져라~

대깨들은 나를 미워하것지만~"
210,중국과 대만 홍콩 나아가 한반도 일본등 동북아시아 근대사라든가 문화들에 대해 아무 깊은 지식도 없으면서 파룬꿍같은 반중국세력 또 미국기독교우파전쟁무기상인들 일본극우일당세습군국주의자들의 논리에 따라 혼넋없이 간쓸개빠진채로 그런 아무의미도 없는 헛소리 댓글들 달고 하면 안됀다. 어떤 사람은 우리가 일본 미국 대만 홍콩등과 합세해서 중국본토를 공습해야 됀다는 그야말로 미치광이같은 댓글을 단것 봤다. 이게 어디 정상적인 사람이냐? 그럼 어디 중국은 넋놓고 가만히 있냐? 말같은 소릴해야지. 중국의 해외화교만 해도 8천만이다. 헛소리그만해라.
211,"정말 몰라서 묻는 건데....
대만이 왜 중국이죠?
중국 논리대로면 미국도 영국 아닌가요?"
212,"나도 대만(타이완)을 편들랍니다.
(중공괴물 꼴보기 싫어!)"
213,대만이 정통 중국이지
